iter	Passed	Remaining
0	147	147014
1	161	80405
2	173	57705
3	185	46164
4	200	39807
5	210	34952
6	223	31634
7	237	29442
8	245	26977
9	257	25495
10	267	24073
11	274	22629
12	281	21407
13	287	20237
14	294	19308
15	300	18504
16	308	17840
17	314	17133
18	318	16450
19	324	15885
20	328	15330
21	333	14818
22	339	14418
23	346	14094
24	351	13702
25	356	13362
26	360	13008
27	365	12675
28	370	12410
29	374	12113
30	381	11918
31	387	11730
32	392	11496
33	398	11332
34	402	11104
35	406	10887
36	414	10799
37	418	10591
38	423	10423
39	429	10307
40	433	10144
41	437	9983
42	443	9871
43	448	9739
44	453	9631
45	460	9546
46	464	9418
47	468	9290
48	474	9209
49	478	9083
50	484	9015
51	490	8951
52	495	8856
53	500	8760
54	505	8687
55	510	8598
56	516	8542
57	521	8477
58	526	8393
59	533	8356
60	539	8311
61	544	8234
62	550	8186
63	554	8116
64	559	8049
65	564	7987
66	571	7952
67	575	7882
68	578	7809
69	585	7783
70	591	7740
71	599	7732
72	605	7683
73	608	7617
74	616	7602
75	620	7540
76	625	7492
77	630	7452
78	636	7419
79	639	7359
80	648	7358
81	652	7303
82	657	7266
83	666	7267
84	670	7216
85	677	7198
86	681	7151
87	685	7101
88	690	7072
89	699	7071
90	708	7075
91	713	7038
92	717	6993
93	722	6966
94	726	6924
95	730	6878
96	738	6875
97	744	6849
98	748	6812
99	754	6794
100	758	6754
101	762	6716
102	767	6686
103	773	6662
104	777	6623
105	780	6584
106	788	6584
107	793	6556
108	799	6532
109	805	6518
110	809	6484
111	814	6455
112	820	6439
113	825	6414
114	830	6391
115	835	6364
116	838	6331
117	843	6305
118	850	6295
119	854	6267
120	860	6249
121	864	6221
122	868	6193
123	874	6175
124	879	6156
125	884	6135
126	891	6126
127	895	6101
128	899	6075
129	905	6058
130	910	6039
131	915	6017
132	922	6013
133	927	5995
134	931	5970
135	937	5955
136	941	5933
137	948	5924
138	955	5919
139	959	5893
140	963	5867
141	969	5856
142	973	5832
143	977	5809
144	980	5781
145	989	5786
146	994	5768
147	1000	5761
148	1005	5744
149	1011	5730
150	1017	5722
151	1022	5706
152	1037	5742
153	1042	5728
154	1048	5714
155	1052	5696
156	1057	5680
157	1064	5674
158	1071	5668
159	1078	5661
160	1084	5649
161	1089	5636
162	1095	5624
163	1102	5617
164	1107	5604
165	1113	5596
166	1118	5577
167	1122	5557
168	1128	5550
169	1133	5532
170	1141	5532
171	1146	5518
172	1150	5500
173	1156	5491
174	1160	5472
175	1164	5454
176	1168	5434
177	1178	5442
178	1182	5423
179	1190	5421
180	1194	5403
181	1198	5385
182	1203	5371
183	1207	5354
184	1213	5346
185	1221	5344
186	1225	5326
187	1229	5310
188	1234	5299
189	1239	5282
190	1243	5268
191	1248	5255
192	1254	5245
193	1259	5231
194	1265	5222
195	1269	5207
196	1273	5191
197	1277	5173
198	1287	5180
199	1292	5168
200	1298	5161
201	1302	5145
202	1306	5129
203	1313	5125
204	1317	5109
205	1324	5104
206	1331	5100
207	1335	5084
208	1339	5067
209	1344	5058
210	1348	5042
211	1352	5026
212	1355	5010
213	1364	5011
214	1369	4999
215	1375	4993
216	1380	4979
217	1384	4964
218	1388	4950
219	1394	4943
220	1397	4927
221	1403	4917
222	1410	4915
223	1414	4901
224	1418	4886
225	1424	4878
226	1428	4862
227	1431	4847
228	1436	4837
229	1444	4834
230	1449	4825
231	1456	4823
232	1460	4808
233	1464	4795
234	1471	4790
235	1475	4775
236	1480	4766
237	1487	4764
238	1491	4750
239	1495	4736
240	1502	4731
241	1506	4719
242	1511	4708
243	1519	4707
244	1523	4694
245	1527	4681
246	1532	4673
247	1536	4659
248	1540	4645
249	1551	4654
250	1555	4641
251	1559	4628
252	1564	4618
253	1568	4606
254	1572	4594
255	1577	4585
256	1583	4578
257	1587	4564
258	1594	4560
259	1599	4552
260	1603	4541
261	1609	4533
262	1613	4521
263	1617	4508
264	1621	4496
265	1630	4498
266	1635	4489
267	1642	4485
268	1645	4472
269	1649	4460
270	1655	4453
271	1660	4443
272	1664	4432
273	1672	4432
274	1677	4422
275	1682	4413
276	1688	4406
277	1692	4395
278	1696	4384
279	1701	4374
280	1708	4372
281	1714	4364
282	1721	4360
283	1725	4349
284	1729	4338
285	1735	4333
286	1739	4322
287	1744	4312
288	1750	4307
289	1755	4298
290	1760	4289
291	1767	4285
292	1771	4275
293	1778	4271
294	1784	4263
295	1788	4254
296	1794	4246
297	1798	4237
298	1802	4226
